time,precip_mm,snow_depth_cm,min_temp
2023-04-24,27.999999999999996,,0.5
2023-05-01,29.200000000000003,,0.1
2023-05-08,26.6,,2.1
2023-05-15,0.0,,4.4
2023-05-22,29.4,,0.9
2023-05-29,0.0,,4.1
2023-06-05,0.6,,11.5
2023-06-12,45.4,,10.6
2023-06-19,6.2,,10.7
2023-06-26,43.2,,15.4
2023-07-03,21.0,,13.1
2023-07-10,5.3999999999999995,,13.5
2023-07-17,39.4,,12.5
2023-07-24,5.2,,15.2
2023-07-31,45.400000000000006,,12.6
2023-08-07,17.2,,13.2
2023-08-14,1.4,,14.8
2023-08-21,18.0,,12.7
2023-08-28,18.4,,11.2
2023-09-04,4.4,,9.5
2023-09-11,3.0,,14.7
2023-09-18,6.2,,8.7
2023-09-25,0.0,,7.1
2023-10-02,1.8,,11.6
2023-10-09,15.2,,6.7
2023-10-16,3.2,,4.6
2023-10-23,6.000000000000001,,-0.2
2023-10-30,15.7,,-1.5
2023-11-06,7.4,,-2.6
2023-11-13,24.0,,-3.2
2023-11-20,1.4,,-5.6
2023-11-27,20.6,0.0,-5.1
2023-12-04,18.1,0.0,-6.0
2023-12-11,12.799999999999999,0.3,-4.1
2023-12-18,13.100000000000001,0.0,-4.9
2023-12-25,7.9,0.0,-4.9
2024-01-01,29.4,0.2,-3.7
2024-01-08,4.2,0.4,-6.2
2024-01-15,54.6,0.5,-13.6
2024-01-22,3.2,0.3,-15.5
2024-01-29,37.4,0.3,-1.9
2024-02-05,0.0,,-5.5
2024-02-12,0.9,,-5.1
2024-02-19,8.0,0.7,-10.9
2024-02-26,0.0,0.0,-13.2
2024-03-04,24.700000000000003,0.0,-7.3
2024-03-11,14.7,0.0,-1.9
2024-03-18,24.6,,-2.8
2024-03-25,12.0,1.1,-8.4
2024-04-01,5.3999999999999995,,-4.9
2024-04-08,40.5,0.0,0.2
2024-04-15,53.4,,3.8
2024-04-22,14.1,,-1.4
2024-04-29,24.3,,-2.0
2024-05-06,9.8,,6.7
2024-05-13,19.3,,7.2
2024-05-20,4.5,,10.4
2024-05-27,37.8,,11.7
2024-06-03,15.6,,7.9
2024-06-10,14.9,,10.6
2024-06-17,0.7,,10.5
2024-06-24,68.3,,17.3
2024-07-01,23.2,,10.7
2024-07-08,2.7,,13.8
2024-07-15,84.9,,16.6
2024-07-22,98.1,,12.6
2024-07-29,22.3,,14.1
2024-08-05,9.0,,18.2
2024-08-12,13.6,,13.5
2024-08-19,153.3,,11.8
2024-08-26,0.0,,10.7
2024-09-02,13.3,,10.8
2024-09-09,4.9,,6.4
2024-09-16,0.0,,9.9
2024-09-23,74.3,,14.3
2024-09-30,19.3,,12.4
2024-10-07,11.600000000000001,,7.2
2024-10-14,3.4,,3.4
2024-10-21,0.0,,0.8
2024-10-28,0.2,,-0.6
2024-11-04,14.3,,0.1
2024-11-11,12.9,,-0.4
2024-11-18,1.8,,-1.6
2024-11-25,20.0,,-2.3
2024-12-02,4.6000000000000005,,-6.1
2024-12-09,10.6,0.4,-11.4
2024-12-16,16.1,,-11.2
2024-12-23,8.8,0.4,-17.9
2024-12-30,27.3,0.8,-3.0
2025-01-06,4.1,0.1,-9.8
2025-01-13,10.200000000000001,0.8,-12.9
2025-01-20,4.6000000000000005,0.6,-14.3
2025-01-27,1.0,0.1,-18.5
2025-02-03,7.6,0.5,-14.0
2025-02-10,15.2,1.6,-11.0
2025-02-17,48.8,5.0,-13.5
2025-02-24,1.9999999999999998,4.8,-14.0
2025-03-03,6.1,3.5,-16.0
2025-03-10,14.799999999999999,0.9,-5.7
2025-03-17,26.6,0.0,-4.5
2025-03-24,4.7,0.2,-7.7
2025-03-31,19.5,,-6.5
2025-04-07,42.3,0.3,-4.0
2025-04-14,4.3,0.0,-7.4
2025-04-21,3.8000000000000003,,-3.5
2025-04-28,0.2,,4.6
2025-05-05,17.9,,2.0
2025-05-12,1.8,,3.7
2025-05-19,25.0,,5.2
2025-05-26,30.5,,3.2
2025-06-02,7.9,,4.9
2025-06-09,12.600000000000001,,12.3
2025-06-16,0.0,,12.4
2025-06-23,24.2,,13.7
2025-06-30,18.9,,13.7
2025-07-07,0.8,,13.8
2025-07-14,35.0,,17.2
2025-07-21,48.1,,13.3
2025-07-28,7.8,,14.3
2025-08-04,4.3999999999999995,,14.1
2025-08-11,0.0,,18.7
2025-08-18,42.2,,13.1
2025-08-25,17.2,,12.9
2025-09-01,7.300000000000001,,7.8
2025-09-08,19.3,,7.2
2025-09-15,0.0,,8.4
2025-09-22,34.9,,10.5
2025-09-29,51.7,,10.8
