,ds,y,national_index,week_of_year,is_holiday
540,2024-05-13,199,3913.25,20,0
541,2024-05-20,182,0.0,21,0
542,2024-05-27,208,0.0,22,0
543,2024-06-03,200,14054.0,23,0
544,2024-06-10,240,12898.875,24,0
545,2024-06-17,251,0.0,25,0
546,2024-06-24,221,0.0,26,0
547,2024-07-01,179,7428.0,27,1
548,2024-07-08,229,21083.25,28,0
549,2024-07-15,212,842.125,29,0
550,2024-07-22,250,0.0,30,0
551,2024-07-29,254,1580.25,31,0
552,2024-08-05,218,20386.375,32,0
553,2024-08-12,178,7573.375,33,0
554,2024-08-19,202,0.0,34,0
555,2024-08-26,225,0.0,35,0
556,2024-09-02,192,10341.25,36,1
557,2024-09-09,257,17580.875,37,0
558,2024-09-16,250,0.0,38,0
559,2024-09-23,244,0.0,39,0
560,2024-09-30,256,4866.25,40,0
561,2024-10-07,222,21281.375,41,0
562,2024-10-14,230,2137.125,42,0
563,2024-10-21,251,0.0,43,0
564,2024-10-28,217,427.25,44,0
565,2024-11-04,206,17550.875,45,0
566,2024-11-11,262,9540.0,46,0
567,2024-11-18,239,0.0,47,0
568,2024-11-25,232,0.0,48,0
569,2024-12-02,185,10286.5,49,0
570,2024-12-09,256,16708.875,50,0
571,2024-12-16,274,0.0,51,0
572,2024-12-23,250,0.0,52,1
573,2024-12-30,137,5303.285714285715,1,1
574,2025-01-06,133,20238.125,2,0
575,2025-01-13,200,1743.25,3,0
576,2025-01-20,183,0.0,4,0
577,2025-01-27,188,700.5,5,0
578,2025-02-03,201,14597.875,6,0
579,2025-02-10,172,8706.75,7,0
580,2025-02-17,170,0.0,8,0
581,2025-02-24,185,370.375,9,0
582,2025-03-03,191,13400.0,10,0
583,2025-03-10,156,7360.125,11,0
584,2025-03-17,186,0.0,12,0
585,2025-03-24,174,0.0,13,0
586,2025-03-31,172,5034.375,14,0
587,2025-04-07,193,13670.625,15,0
588,2025-04-14,189,414.625,16,1
589,2025-04-21,145,0.0,17,0
590,2025-04-28,210,2401.5,18,0
591,2025-05-05,192,17459.625,19,0
592,2025-05-12,220,3913.25,20,0
593,2025-05-19,206,0.0,21,0
594,2025-05-26,215,0.0,22,0
595,2025-06-02,205,14054.0,23,0
596,2025-06-09,181,12898.875,24,0
597,2025-06-16,204,0.0,25,0
598,2025-06-23,233,0.0,26,0
599,2025-06-30,233,7428.0,27,1
600,2025-07-07,206,21083.25,28,0
601,2025-07-14,200,842.125,29,0
602,2025-07-21,223,0.0,30,0
603,2025-07-28,213,1580.25,31,0
604,2025-08-04,202,20386.375,32,0
605,2025-08-11,183,7573.375,33,0
606,2025-08-18,213,0.0,34,0
607,2025-08-25,226,0.0,35,0
608,2025-09-01,205,10341.25,36,1
609,2025-09-08,209,17580.875,37,0
610,2025-09-15,211,0.0,38,0
611,2025-09-22,205,0.0,39,0
612,2025-09-29,204,4866.25,40,0
613,2025-10-06,33,21281.375,41,0
